"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","EXPEND","Value","Flag and Footnotes"
"2012","Belgium","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Belgium","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","54.76",""
"2012","Belgium","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Belgium","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","83.05",""
"2012","Belgium","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Belgium","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","51.17",""
"2012","Belgium","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Belgium","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","84.45",""
"2012","Belgium","Thousand euro","Personal reasons","1 night or over","Domestic","Total","581,231.9",""
"2012","Belgium","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Belgium","Thousand euro","Personal reasons","1 night or over","Outbound","Total","5,051,611.8",""
"2012","Belgium","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Belgium","Thousand euro","Professional, business","1 night or over","Domestic","Total","49,933.53",""
"2012","Belgium","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Belgium","Thousand euro","Professional, business","1 night or over","Outbound","Total","1,304,044.76",""
"2012","Belgium","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","27.12","b"
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","41","b"
"2012","Bulgaria","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Bulgaria","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","32.29","b"
"2012","Bulgaria","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Bulgaria","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","71.11","bu"
"2012","Bulgaria","Thousand euro","Personal reasons","1 night or over","Domestic","Total","311,103.79","b"
"2012","Bulgaria","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Bulgaria","Thousand euro","Personal reasons","1 night or over","Outbound","Total","142,432.32","b"
"2012","Bulgaria","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Bulgaria","Thousand euro","Professional, business","1 night or over","Domestic","Total","12,435.02","b"
"2012","Bulgaria","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Bulgaria","Thousand euro","Professional, business","1 night or over","Outbound","Total","29,320.17","bu"
"2012","Bulgaria","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Czechia","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Czechia","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","15.51",""
"2012","Czechia","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Czechia","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","56.64",""
"2012","Czechia","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Czechia","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","55.14",""
"2012","Czechia","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Czechia","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","119.14",""
"2012","Czechia","Thousand euro","Personal reasons","1 night or over","Domestic","Total","1,445,544.12",""
"2012","Czechia","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Czechia","Thousand euro","Personal reasons","1 night or over","Outbound","Total","2,186,491.24",""
"2012","Czechia","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Czechia","Thousand euro","Professional, business","1 night or over","Domestic","Total","99,463.63",""
"2012","Czechia","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Czechia","Thousand euro","Professional, business","1 night or over","Outbound","Total","279,779.12",""
"2012","Czechia","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Denmark","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Denmark","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","52.5",""
