"TIME","GEO","UNIT","DURATION","PARTNER","SEX","Value","Flag and Footnotes"
"2012","Belgium","Number","1 night or over","Domestic","Males","264,975",""
"2012","Belgium","Number","1 night or over","Domestic","Females","253,310",""
"2012","Belgium","Number","1 night or over","Outbound","Males","1,508,709",""
"2012","Belgium","Number","1 night or over","Outbound","Females","1,487,477",""
"2012","Belgium","Percentage of total population","1 night or over","Domestic","Males","5.98",""
"2012","Belgium","Percentage of total population","1 night or over","Domestic","Females","5.37",""
"2012","Belgium","Percentage of total population","1 night or over","Outbound","Males","34.07",""
"2012","Belgium","Percentage of total population","1 night or over","Outbound","Females","31.52",""
"2012","Bulgaria","Number","1 night or over","Domestic","Males","514,700",""
"2012","Bulgaria","Number","1 night or over","Domestic","Females","498,268",""
"2012","Bulgaria","Number","1 night or over","Outbound","Males","52,560",""
"2012","Bulgaria","Number","1 night or over","Outbound","Females","58,430",""
"2012","Bulgaria","Percentage of total population","1 night or over","Domestic","Males","16.68",""
"2012","Bulgaria","Percentage of total population","1 night or over","Domestic","Females","15.08",""
"2012","Bulgaria","Percentage of total population","1 night or over","Outbound","Males","1.7",""
"2012","Bulgaria","Percentage of total population","1 night or over","Outbound","Females","1.77",""
"2012","Czechia","Number","1 night or over","Domestic","Males","1,542,652",""
"2012","Czechia","Number","1 night or over","Domestic","Females","1,634,645",""
"2012","Czechia","Number","1 night or over","Outbound","Males","237,419",""
"2012","Czechia","Number","1 night or over","Outbound","Females","292,209",""
"2012","Czechia","Percentage of total population","1 night or over","Domestic","Males","35.32",""
"2012","Czechia","Percentage of total population","1 night or over","Domestic","Females","35.57",""
"2012","Czechia","Percentage of total population","1 night or over","Outbound","Males","5.44",""
"2012","Czechia","Percentage of total population","1 night or over","Outbound","Females","6.36",""
"2012","Denmark","Number","1 night or over","Domestic","Males","462,014","e"
"2012","Denmark","Number","1 night or over","Domestic","Females","496,947","e"
"2012","Denmark","Number","1 night or over","Outbound","Males","961,435","e"
"2012","Denmark","Number","1 night or over","Outbound","Females","1,030,050","e"
"2012","Denmark","Percentage of total population","1 night or over","Domestic","Males","19.43","e"
"2012","Denmark","Percentage of total population","1 night or over","Domestic","Females","20.17","e"
"2012","Denmark","Percentage of total population","1 night or over","Outbound","Males","40.43","e"
"2012","Denmark","Percentage of total population","1 night or over","Outbound","Females","41.82","e"
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Males","8,665,416",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Females","8,922,101",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Outbound","Males","5,438,842",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Outbound","Females","5,774,035",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","Domestic","Males","25.12",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","Domestic","Females","24.57",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","Outbound","Males","15.77",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","Outbound","Females","15.9",""
"2012","Estonia","Number","1 night or over","Domestic","Males","105,544",""
"2012","Estonia","Number","1 night or over","Domestic","Females","125,118",""
"2012","Estonia","Number","1 night or over","Outbound","Males","65,826",""
"2012","Estonia","Number","1 night or over","Outbound","Females","91,451",""
"2012","Estonia","Percentage of total population","1 night or over","Domestic","Males","20.66",""
"2012","Estonia","Percentage of total population","1 night or over","Domestic","Females","20.15",""
"2012","Estonia","Percentage of total population","1 night or over","Outbound","Males","12.88",""
"2012","Estonia","Percentage of total population","1 night or over","Outbound","Females","14.73",""
"2012","Ireland","Number","1 night or over","Domestic","Males","315,330",""
"2012","Ireland","Number","1 night or over","Domestic","Females","349,856",""
"2012","Ireland","Number","1 night or over","Outbound","Males","151,778",""
"2012","Ireland","Number","1 night or over","Outbound","Females","179,420",""
"2012","Ireland","Percentage of total population","1 night or over","Domestic","Males","17.92",""
"2012","Ireland","Percentage of total population","1 night or over","Domestic","Females","19.15",""
"2012","Ireland","Percentage of total population","1 night or over","Outbound","Males","8.62",""
"2012","Ireland","Percentage of total population","1 night or over","Outbound","Females","9.82",""
"2012","Greece","Number","1 night or over","Domestic","Males","1,471,106",""
"2012","Greece","Number","1 night or over","Domestic","Females","1,593,417",""
"2012","Greece","Number","1 night or over","Outbound","Males","129,680",""
"2012","Greece","Number","1 night or over","Outbound","Females","152,094",""
"2012","Greece","Percentage of total population","1 night or over","Domestic","Males","32.38",""
"2012","Greece","Percentage of total population","1 night or over","Domestic","Females","32.85",""
"2012","Greece","Percentage of total population","1 night or over","Outbound","Males","2.85",""
"2012","Greece","Percentage of total population","1 night or over","Outbound","Females","3.14",""
"2012","Spain","Number","1 night or over","Domestic","Males","7,893,795",""
"2012","Spain","Number","1 night or over","Domestic","Females","8,284,602",""
"2012","Spain","Number","1 night or over","Outbound","Males","702,342",""
"2012","Spain","Number","1 night or over","Outbound","Females","782,800",""
"2012","Spain","Percentage of total population","1 night or over","Domestic","Males","41.41",""
"2012","Spain","Percentage of total population","1 night or over","Domestic","Females","41.52",""
"2012","Spain","Percentage of total population","1 night or over","Outbound","Males","3.68",""
"2012","Spain","Percentage of total population","1 night or over","Outbound","Females","3.92",""
"2012","France","Number","1 night or over","Domestic","Males","12,311,288",""
"2012","France","Number","1 night or over","Domestic","Females","13,794,503",""
"2012","France","Number","1 night or over","Outbound","Males","954,753",""
"2012","France","Number","1 night or over","Outbound","Females","944,263",""
"2012","France","Percentage of total population","1 night or over","Domestic","Males","50.54",""
"2012","France","Percentage of total population","1 night or over","Domestic","Females","51.57",""
"2012","France","Percentage of total population","1 night or over","Outbound","Males","3.92",""
"2012","France","Percentage of total population","1 night or over","Outbound","Females","3.53",""
"2012","Croatia","Number","1 night or over","Domestic","Males","453,325","u"
"2012","Croatia","Number","1 night or over","Domestic","Females","493,628","u"
"2012","Croatia","Number","1 night or over","Outbound","Males","315,180","u"
"2012","Croatia","Number","1 night or over","Outbound","Females","343,201","u"
"2012","Croatia","Percentage of total population","1 night or over","Domestic","Males","25.87","u"
"2012","Croatia","Percentage of total population","1 night or over","Domestic","Females","25.57","u"
"2012","Croatia","Percentage of total population","1 night or over","Outbound","Males","17.99","u"
"2012","Croatia","Percentage of total population","1 night or over","Outbound","Females","17.77","u"
"2012","Italy","Number","1 night or over","Domestic","Males","9,225,692",""
"2012","Italy","Number","1 night or over","Domestic","Females","9,316,865",""
"2012","Italy","Number","1 night or over","Outbound","Males","1,955,792",""
"2012","Italy","Number","1 night or over","Outbound","Females","2,422,304",""
"2012","Italy","Percentage of total population","1 night or over","Domestic","Males","37.18",""
"2012","Italy","Percentage of total population","1 night or over","Domestic","Females","34.81",""
"2012","Italy","Percentage of total population","1 night or over","Outbound","Males","7.88",""
"2012","Italy","Percentage of total population","1 night or over","Outbound","Females","9.05",""
"2012","Cyprus","Number","1 night or over","Domestic","Males","100,663","e"
"2012","Cyprus","Number","1 night or over","Domestic","Females","102,344","e"
"2012","Cyprus","Number","1 night or over","Outbound","Males","108,453","e"
"2012","Cyprus","Number","1 night or over","Outbound","Females","120,015","e"
"2012","Cyprus","Percentage of total population","1 night or over","Domestic","Males","29.09","e"
"2012","Cyprus","Percentage of total population","1 night or over","Domestic","Females","27.39","e"
"2012","Cyprus","Percentage of total population","1 night or over","Outbound","Males","31.34","e"
"2012","Cyprus","Percentage of total population","1 night or over","Outbound","Females","32.12","e"
"2012","Latvia","Number","1 night or over","Domestic","Males","199,344",""
"2012","Latvia","Number","1 night or over","Domestic","Females","205,373",""
"2012","Latvia","Number","1 night or over","Outbound","Males","65,382",""
"2012","Latvia","Number","1 night or over","Outbound","Females","83,630",""
"2012","Latvia","Percentage of total population","1 night or over","Domestic","Males","34.77",""
"2012","Latvia","Percentage of total population","1 night or over","Domestic","Females","28.75",""
"2012","Latvia","Percentage of total population","1 night or over","Outbound","Males","11.4",""
"2012","Latvia","Percentage of total population","1 night or over","Outbound","Females","11.71",""
"2012","Lithuania","Number","1 night or over","Domestic","Males","302,081",""
"2012","Lithuania","Number","1 night or over","Domestic","Females","340,941",""
"2012","Lithuania","Number","1 night or over","Outbound","Males","318,075",""
"2012","Lithuania","Number","1 night or over","Outbound","Females","354,484",""
"2012","Lithuania","Percentage of total population","1 night or over","Domestic","Males","26.14",""
"2012","Lithuania","Percentage of total population","1 night or over","Domestic","Females","24.28",""
"2012","Lithuania","Percentage of total population","1 night or over","Outbound","Males","27.53",""
"2012","Lithuania","Percentage of total population","1 night or over","Outbound","Females","25.25",""
"2012","Luxembourg","Number","1 night or over","Domestic","Males","952",""
"2012","Luxembourg","Number","1 night or over","Domestic","Females","1,688",""
"2012","Luxembourg","Number","1 night or over","Outbound","Males","146,606",""
"2012","Luxembourg","Number","1 night or over","Outbound","Females","145,086",""
"2012","Luxembourg","Percentage of total population","1 night or over","Domestic","Males","0.46",""
"2012","Luxembourg","Percentage of total population","1 night or over","Domestic","Females","0.79",""
"2012","Luxembourg","Percentage of total population","1 night or over","Outbound","Males","70.37",""
"2012","Luxembourg","Percentage of total population","1 night or over","Outbound","Females","67.97",""
"2012","Hungary","Number","1 night or over","Domestic","Males","1,278,473",""
"2012","Hungary","Number","1 night or over","Domestic","Females","1,475,959",""
"2012","Hungary","Number","1 night or over","Outbound","Males","228,677",""
"2012","Hungary","Number","1 night or over","Outbound","Females","233,899",""
"2012","Hungary","Percentage of total population","1 night or over","Domestic","Males","32.66",""
"2012","Hungary","Percentage of total population","1 night or over","Domestic","Females","33.09",""
"2012","Hungary","Percentage of total population","1 night or over","Outbound","Males","5.84",""
"2012","Hungary","Percentage of total population","1 night or over","Outbound","Females","5.24",""
"2012","Malta","Number","1 night or over","Domestic","Males","37,253",""
"2012","Malta","Number","1 night or over","Domestic","Females","38,321",""
"2012","Malta","Number","1 night or over","Outbound","Males","28,880",""
"2012","Malta","Number","1 night or over","Outbound","Females","25,754",""
"2012","Malta","Percentage of total population","1 night or over","Domestic","Males","20.87",""
"2012","Malta","Percentage of total population","1 night or over","Domestic","Females","21.07",""
"2012","Malta","Percentage of total population","1 night or over","Outbound","Males","16.18",""
"2012","Malta","Percentage of total population","1 night or over","Outbound","Females","14.16",""
"2012","Netherlands","Number","1 night or over","Domestic","Males","1,569,244",""
"2012","Netherlands","Number","1 night or over","Domestic","Females","1,630,619",""
"2012","Netherlands","Number","1 night or over","Outbound","Males","1,465,159",""
"2012","Netherlands","Number","1 night or over","Outbound","Females","1,280,915",""
"2012","Netherlands","Percentage of total population","1 night or over","Domestic","Males","23.42",""
"2012","Netherlands","Percentage of total population","1 night or over","Domestic","Females","23.47",""
"2012","Netherlands","Percentage of total population","1 night or over","Outbound","Males","21.87",""
"2012","Netherlands","Percentage of total population","1 night or over","Outbound","Females","18.44",""
"2012","Austria","Number","1 night or over","Domestic","Males","656,048",""
"2012","Austria","Number","1 night or over","Domestic","Females","699,049",""
"2012","Austria","Number","1 night or over","Outbound","Males","795,708",""
"2012","Austria","Number","1 night or over","Outbound","Females","728,926",""
"2012","Austria","Percentage of total population","1 night or over","Domestic","Males","18.93",""
"2012","Austria","Percentage of total population","1 night or over","Domestic","Females","19.05",""
"2012","Austria","Percentage of total population","1 night or over","Outbound","Males","22.96",""
"2012","Austria","Percentage of total population","1 night or over","Outbound","Females","19.86",""
"2012","Poland","Number","1 night or over","Domestic","Males","5,050,000",""
"2012","Poland","Number","1 night or over","Domestic","Females","6,270,000",""
"2012","Poland","Number","1 night or over","Outbound","Males","1,320,000",""
"2012","Poland","Number","1 night or over","Outbound","Females","1,250,000",""
"2012","Poland","Percentage of total population","1 night or over","Domestic","Males","32.22",""
"2012","Poland","Percentage of total population","1 night or over","Domestic","Females","36.75",""
"2012","Poland","Percentage of total population","1 night or over","Outbound","Males","8.42",""
"2012","Poland","Percentage of total population","1 night or over","Outbound","Females","7.33",""
"2012","Portugal","Number","1 night or over","Domestic","Males","1,223,387",""
"2012","Portugal","Number","1 night or over","Domestic","Females","1,330,559",""
"2012","Portugal","Number","1 night or over","Outbound","Males","131,806",""
"2012","Portugal","Number","1 night or over","Outbound","Females","138,140",""
"2012","Portugal","Percentage of total population","1 night or over","Domestic","Males","28.36",""
"2012","Portugal","Percentage of total population","1 night or over","Domestic","Females","28.33",""
"2012","Portugal","Percentage of total population","1 night or over","Outbound","Males","3.06",""
"2012","Portugal","Percentage of total population","1 night or over","Outbound","Females","2.94",""
"2012","Romania","Number","1 night or over","Domestic","Males","1,848,399",""
"2012","Romania","Number","1 night or over","Domestic","Females","1,834,395",""
"2012","Romania","Number","1 night or over","Outbound","Males","90,284",""
"2012","Romania","Number","1 night or over","Outbound","Females","97,139",""
"2012","Romania","Percentage of total population","1 night or over","Domestic","Males","21.36",""
"2012","Romania","Percentage of total population","1 night or over","Domestic","Females","19.58",""
"2012","Romania","Percentage of total population","1 night or over","Outbound","Males","1.04",""
"2012","Romania","Percentage of total population","1 night or over","Outbound","Females","1.04",""
"2012","Slovenia","Number","1 night or over","Domestic","Males","127,984",""
"2012","Slovenia","Number","1 night or over","Domestic","Females","116,192",""
"2012","Slovenia","Number","1 night or over","Outbound","Males","260,264",""
"2012","Slovenia","Number","1 night or over","Outbound","Females","244,269",""
"2012","Slovenia","Percentage of total population","1 night or over","Domestic","Males","14.78",""
"2012","Slovenia","Percentage of total population","1 night or over","Domestic","Females","12.98",""
"2012","Slovenia","Percentage of total population","1 night or over","Outbound","Males","30.06",""
"2012","Slovenia","Percentage of total population","1 night or over","Outbound","Females","27.28",""
"2012","Slovakia","Number","1 night or over","Domestic","Males","460,612",""
"2012","Slovakia","Number","1 night or over","Domestic","Females","532,396",""
"2012","Slovakia","Number","1 night or over","Outbound","Males","598,198",""
"2012","Slovakia","Number","1 night or over","Outbound","Females","658,018",""
"2012","Slovakia","Percentage of total population","1 night or over","Domestic","Males","20.89",""
"2012","Slovakia","Percentage of total population","1 night or over","Domestic","Females","22.49",""
"2012","Slovakia","Percentage of total population","1 night or over","Outbound","Males","27.13",""
"2012","Slovakia","Percentage of total population","1 night or over","Outbound","Females","27.8",""
"2012","Finland","Number","1 night or over","Domestic","Males","716,719",""
"2012","Finland","Number","1 night or over","Domestic","Females","771,796",""
"2012","Finland","Number","1 night or over","Outbound","Males","127,954",""
"2012","Finland","Number","1 night or over","Outbound","Females","114,537",""
"2012","Finland","Percentage of total population","1 night or over","Domestic","Males","32.93",""
"2012","Finland","Percentage of total population","1 night or over","Domestic","Females","34.54",""
"2012","Finland","Percentage of total population","1 night or over","Outbound","Males","5.88",""
"2012","Finland","Percentage of total population","1 night or over","Outbound","Females","5.13",""
"2012","Sweden","Number","1 night or over","Domestic","Males",":","u"
"2012","Sweden","Number","1 night or over","Domestic","Females",":","u"
"2012","Sweden","Number","1 night or over","Outbound","Males",":","u"
"2012","Sweden","Number","1 night or over","Outbound","Females",":","u"
"2012","Sweden","Percentage of total population","1 night or over","Domestic","Males",":",""
"2012","Sweden","Percentage of total population","1 night or over","Domestic","Females",":",""
"2012","Sweden","Percentage of total population","1 night or over","Outbound","Males",":",""
"2012","Sweden","Percentage of total population","1 night or over","Outbound","Females",":",""
"2013","Belgium","Number","1 night or over","Domestic","Males","228,518",""
"2013","Belgium","Number","1 night or over","Domestic","Females","261,421",""
"2013","Belgium","Number","1 night or over","Outbound","Males","1,808,924",""
"2013","Belgium","Number","1 night or over","Outbound","Females","1,931,931",""
"2013","Belgium","Percentage of total population","1 night or over","Domestic","Males","5.01",""
"2013","Belgium","Percentage of total population","1 night or over","Domestic","Females","5.56",""
"2013","Belgium","Percentage of total population","1 night or over","Outbound","Males","39.62",""
"2013","Belgium","Percentage of total population","1 night or over","Outbound","Females","41.06",""
"2013","Bulgaria","Number","1 night or over","Domestic","Males","603,988",""
"2013","Bulgaria","Number","1 night or over","Domestic","Females","592,943",""
"2013","Bulgaria","Number","1 night or over","Outbound","Males","57,767",""
"2013","Bulgaria","Number","1 night or over","Outbound","Females","64,067",""
"2013","Bulgaria","Percentage of total population","1 night or over","Domestic","Males","19.69",""
"2013","Bulgaria","Percentage of total population","1 night or over","Domestic","Females","18.03",""
"2013","Bulgaria","Percentage of total population","1 night or over","Outbound","Males","1.88",""
"2013","Bulgaria","Percentage of total population","1 night or over","Outbound","Females","1.95",""
"2013","Czechia","Number","1 night or over","Domestic","Males","1,506,727",""
"2013","Czechia","Number","1 night or over","Domestic","Females","1,646,021",""
"2013","Czechia","Number","1 night or over","Outbound","Males","316,117",""
