"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","SEX","Value","Flag and Footnotes"
"2012","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Domestic","Males","347,410,453","e"
"2012","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Domestic","Females","374,458,793","e"
"2012","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Outbound","Males","100,272,615","e"
"2012","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Outbound","Females","103,459,988","e"
"2012","Belgium","Number","Personal reasons","1 night or over","Domestic","Males","1,175,257",""
"2012","Belgium","Number","Personal reasons","1 night or over","Domestic","Females","1,310,191",""
"2012","Belgium","Number","Personal reasons","1 night or over","Outbound","Males","3,786,115",""
"2012","Belgium","Number","Personal reasons","1 night or over","Outbound","Females","3,887,425",""
"2012","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Males","1,433,990","b"
"2012","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Females","1,572,120","b"
"2012","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Males","203,121","b"
"2012","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Females","214,533","b"
"2012","Czechia","Number","Personal reasons","1 night or over","Domestic","Males","12,180,964",""
"2012","Czechia","Number","Personal reasons","1 night or over","Domestic","Females","13,805,988",""
"2012","Czechia","Number","Personal reasons","1 night or over","Outbound","Males","2,533,655",""
"2012","Czechia","Number","Personal reasons","1 night or over","Outbound","Females","2,885,706",""
"2012","Denmark","Number","Personal reasons","1 night or over","Domestic","Males","9,681,610",""
"2012","Denmark","Number","Personal reasons","1 night or over","Domestic","Females","10,755,789",""
"2012","Denmark","Number","Personal reasons","1 night or over","Outbound","Males","2,803,558",""
"2012","Denmark","Number","Personal reasons","1 night or over","Outbound","Females","3,202,339",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Domestic","Males","62,123,662",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Domestic","Females","67,953,220",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Outbound","Males","35,345,713",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Outbound","Females","34,343,396",""
"2012","Estonia","Number","Personal reasons","1 night or over","Domestic","Males","660,016",""
"2012","Estonia","Number","Personal reasons","1 night or over","Domestic","Females","943,926",""
"2012","Estonia","Number","Personal reasons","1 night or over","Outbound","Males","333,017",""
"2012","Estonia","Number","Personal reasons","1 night or over","Outbound","Females","576,920",""
"2012","Ireland","Number","Personal reasons","1 night or over","Domestic","Males","2,683,357",""
"2012","Ireland","Number","Personal reasons","1 night or over","Domestic","Females","3,425,546",""
"2012","Ireland","Number","Personal reasons","1 night or over","Outbound","Males","2,387,505",""
"2012","Ireland","Number","Personal reasons","1 night or over","Outbound","Females","2,619,970",""
"2012","Greece","Number","Personal reasons","1 night or over","Domestic","Males","3,007,654",""
"2012","Greece","Number","Personal reasons","1 night or over","Domestic","Females","3,249,673",""
"2012","Greece","Number","Personal reasons","1 night or over","Outbound","Males","241,296",""
"2012","Greece","Number","Personal reasons","1 night or over","Outbound","Females","279,577",""
"2012","Spain","Number","Personal reasons","1 night or over","Domestic","Males","55,925,074",""
"2012","Spain","Number","Personal reasons","1 night or over","Domestic","Females","59,159,624",""
"2012","Spain","Number","Personal reasons","1 night or over","Outbound","Males","4,403,743",""
"2012","Spain","Number","Personal reasons","1 night or over","Outbound","Females","4,779,897",""
"2012","France","Number","Personal reasons","1 night or over","Domestic","Males","87,363,204",""
"2012","France","Number","Personal reasons","1 night or over","Domestic","Females","94,154,623",""
"2012","France","Number","Personal reasons","1 night or over","Outbound","Males","10,374,780",""
"2012","France","Number","Personal reasons","1 night or over","Outbound","Females","11,292,131",""
"2012","Croatia","Number","Personal reasons","1 night or over","Domestic","Males","2,637,062",""
"2012","Croatia","Number","Personal reasons","1 night or over","Domestic","Females","2,474,030",""
"2012","Croatia","Number","Personal reasons","1 night or over","Outbound","Males","1,054,323",""
"2012","Croatia","Number","Personal reasons","1 night or over","Outbound","Females","1,119,057",""
"2012","Italy","Number","Personal reasons","1 night or over","Domestic","Males","21,561,146",""
"2012","Italy","Number","Personal reasons","1 night or over","Domestic","Females","21,569,905",""
"2012","Italy","Number","Personal reasons","1 night or over","Outbound","Males","6,099,671",""
"2012","Italy","Number","Personal reasons","1 night or over","Outbound","Females","5,924,735",""
"2012","Cyprus","Number","Personal reasons","1 night or over","Domestic","Males","633,905","b"
"2012","Cyprus","Number","Personal reasons","1 night or over","Domestic","Females","702,209","b"
"2012","Cyprus","Number","Personal reasons","1 night or over","Outbound","Males","409,257","b"
"2012","Cyprus","Number","Personal reasons","1 night or over","Outbound","Females","538,242","b"
"2012","Latvia","Number","Personal reasons","1 night or over","Domestic","Males","1,613,107",""
"2012","Latvia","Number","Personal reasons","1 night or over","Domestic","Females","2,022,593",""
"2012","Latvia","Number","Personal reasons","1 night or over","Outbound","Males","473,156",""
"2012","Latvia","Number","Personal reasons","1 night or over","Outbound","Females","643,746",""
"2012","Lithuania","Number","Personal reasons","1 night or over","Domestic","Males","1,067,249",""
"2012","Lithuania","Number","Personal reasons","1 night or over","Domestic","Females","1,137,412",""
"2012","Lithuania","Number","Personal reasons","1 night or over","Outbound","Males","682,437",""
"2012","Lithuania","Number","Personal reasons","1 night or over","Outbound","Females","704,719",""
"2012","Luxembourg","Number","Personal reasons","1 night or over","Domestic","Males","23,336",""
"2012","Luxembourg","Number","Personal reasons","1 night or over","Domestic","Females","19,836",""
"2012","Luxembourg","Number","Personal reasons","1 night or over","Outbound","Males","643,092",""
"2012","Luxembourg","Number","Personal reasons","1 night or over","Outbound","Females","668,612",""
"2012","Hungary","Number","Personal reasons","1 night or over","Domestic","Males","6,433,835",""
"2012","Hungary","Number","Personal reasons","1 night or over","Domestic","Females","7,556,907",""
"2012","Hungary","Number","Personal reasons","1 night or over","Outbound","Males","1,689,763",""
"2012","Hungary","Number","Personal reasons","1 night or over","Outbound","Females","1,877,831",""
"2012","Malta","Number","Personal reasons","1 night or over","Domestic","Males","103,255",""
"2012","Malta","Number","Personal reasons","1 night or over","Domestic","Females","97,123",""
"2012","Malta","Number","Personal reasons","1 night or over","Outbound","Males","123,396",""
"2012","Malta","Number","Personal reasons","1 night or over","Outbound","Females","113,831",""
"2012","Netherlands","Number","Personal reasons","1 night or over","Domestic","Males","12,648,720","b"
"2012","Netherlands","Number","Personal reasons","1 night or over","Domestic","Females","14,877,487","b"
"2012","Netherlands","Number","Personal reasons","1 night or over","Outbound","Males","8,484,114","b"
"2012","Netherlands","Number","Personal reasons","1 night or over","Outbound","Females","8,220,991","b"
"2012","Austria","Number","Personal reasons","1 night or over","Domestic","Males","4,143,902",""
"2012","Austria","Number","Personal reasons","1 night or over","Domestic","Females","4,871,291",""
"2012","Austria","Number","Personal reasons","1 night or over","Outbound","Males","4,000,273",""
"2012","Austria","Number","Personal reasons","1 night or over","Outbound","Females","4,986,163",""
"2012","Poland","Number","Personal reasons","1 night or over","Domestic","Males","18,704,982",""
"2012","Poland","Number","Personal reasons","1 night or over","Domestic","Females","19,881,125",""
"2012","Poland","Number","Personal reasons","1 night or over","Outbound","Males","3,590,569",""
"2012","Poland","Number","Personal reasons","1 night or over","Outbound","Females","3,216,918",""
"2012","Portugal","Number","Personal reasons","1 night or over","Domestic","Males","5,644,634",""
"2012","Portugal","Number","Personal reasons","1 night or over","Domestic","Females","6,200,914",""
"2012","Portugal","Number","Personal reasons","1 night or over","Outbound","Males","468,685",""
"2012","Portugal","Number","Personal reasons","1 night or over","Outbound","Females","512,790",""
"2012","Romania","Number","Personal reasons","1 night or over","Domestic","Males","7,909,573",""
"2012","Romania","Number","Personal reasons","1 night or over","Domestic","Females","7,729,815",""
"2012","Romania","Number","Personal reasons","1 night or over","Outbound","Males","370,261",""
"2012","Romania","Number","Personal reasons","1 night or over","Outbound","Females","400,993",""
"2012","Slovenia","Number","Personal reasons","1 night or over","Domestic","Males","1,048,264",""
"2012","Slovenia","Number","Personal reasons","1 night or over","Domestic","Females","926,635",""
"2012","Slovenia","Number","Personal reasons","1 night or over","Outbound","Males","1,035,759",""
"2012","Slovenia","Number","Personal reasons","1 night or over","Outbound","Females","1,043,660",""
"2012","Slovakia","Number","Personal reasons","1 night or over","Domestic","Males","1,705,621",""
"2012","Slovakia","Number","Personal reasons","1 night or over","Domestic","Females","1,876,747",""
"2012","Slovakia","Number","Personal reasons","1 night or over","Outbound","Males","1,081,779",""
"2012","Slovakia","Number","Personal reasons","1 night or over","Outbound","Females","1,304,987",""
"2012","Finland","Number","Personal reasons","1 night or over","Domestic","Males","13,188,483","b"
"2012","Finland","Number","Personal reasons","1 night or over","Domestic","Females","13,582,647","b"
"2012","Finland","Number","Personal reasons","1 night or over","Outbound","Males","3,383,263","b"
"2012","Finland","Number","Personal reasons","1 night or over","Outbound","Females","3,743,303","b"
"2012","Sweden","Number","Personal reasons","1 night or over","Domestic","Males",":",""
"2012","Sweden","Number","Personal reasons","1 night or over","Domestic","Females",":",""
"2012","Sweden","Number","Personal reasons","1 night or over","Outbound","Males",":",""
"2012","Sweden","Number","Personal reasons","1 night or over","Outbound","Females",":",""
"2013","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Domestic","Males","338,820,910","e"
"2013","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Domestic","Females","370,434,430","e"
"2013","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Outbound","Males","102,185,551","e"
"2013","European Union - 27 countries (from 2020)","Number","Personal reasons","1 night or over","Outbound","Females","109,414,088","e"
"2013","Belgium","Number","Personal reasons","1 night or over","Domestic","Males","1,195,035",""
