"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","ACCOMMOD","EXPEND","Value"
"2012","Belgium","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","105.28"
"2012","Belgium","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","24.65"
"2012","Belgium","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","304.67"
"2012","Belgium","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","38.44"
"2012","Belgium","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","70.02"
"2012","Belgium","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","21.04"
"2012","Belgium","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","233.7"
"2012","Belgium","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","28.79"
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","24.03"
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","6.3"
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","71.59"
"2012","Bulgaria","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","8.61"
"2012","Bulgaria","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","51.75"
"2012","Bulgaria","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","13.55"
"2012","Bulgaria","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","209.03"
"2012","Bulgaria","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","26.15"
"2012","Czechia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","11.61"
"2012","Czechia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","3.24"
"2012","Czechia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","96.56"
"2012","Czechia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","13.55"
"2012","Czechia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","41.72"
"2012","Czechia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","20.67"
"2012","Czechia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","172.36"
"2012","Czechia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","40.99"
"2012","Denmark","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","40.9"
"2012","Denmark","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","17.19"
"2012","Denmark","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","240.31"
"2012","Denmark","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","30.77"
"2012","Denmark","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","169.14"
"2012","Denmark","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","83.82"
"2012","Denmark","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","411.15"
"2012","Denmark","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","94.2"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","91.3"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","24.43"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","364.35"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","40.62"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","160.08"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","68.96"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","422.63"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","88.43"
"2012","Estonia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","14.17"
"2012","Estonia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","5.06"
"2012","Estonia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","155.86"
"2012","Estonia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","23.83"
"2012","Estonia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","17.92"
"2012","Estonia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","12.84"
"2012","Estonia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","232.88"
"2012","Estonia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","56.95"
"2012","Ireland","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","69.08"
"2012","Ireland","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","24.51"
"2012","Ireland","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","223.56"
"2012","Ireland","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","27.05"
"2012","Ireland","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","107.47"
"2012","Ireland","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","55.32"
"2012","Ireland","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","341.75"
"2012","Ireland","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","91.76"
"2012","Greece","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","38.39"
"2012","Greece","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","5.31"
"2012","Greece","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","73.05"
"2012","Greece","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","7.52"
"2012","Greece","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","56.78"
"2012","Greece","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","5.58"
"2012","Greece","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","218.8"
"2012","Greece","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","19.7"
"2012","Spain","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","30.03"
"2012","Spain","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","6.76"
"2012","Spain","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","149.39"
"2012","Spain","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","16.12"
"2012","Spain","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","31.08"
"2012","Spain","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","8.23"
"2012","Spain","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","55.38"
"2012","Spain","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","9.47"
"2012","France","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","59.23"
"2012","France","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","11.11"
"2012","France","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","276.7"
"2012","France","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","30.62"
"2012","France","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","111.71"
"2012","France","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","34.48"
"2012","France","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","260.91"
"2012","France","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","48.82"
"2012","Croatia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","32.29"
"2012","Croatia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","6.33"
"2012","Croatia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","87.85"
"2012","Croatia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","14.43"
"2012","Croatia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","56.53"
"2012","Croatia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","19.78"
"2012","Croatia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","171.48"
"2012","Croatia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","33.23"
"2012","Italy","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","119.39"
"2012","Italy","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","19.12"
"2012","Italy","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","261.05"
"2012","Italy","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","33.84"
"2012","Italy","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","126.91"
"2012","Italy","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","59.12"
"2012","Italy","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","425.91"
"2012","Italy","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","72.71"
"2012","Cyprus","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","43.89"
"2012","Cyprus","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","13.69"
"2012","Cyprus","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","168.53"
"2012","Cyprus","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","13.99"
"2012","Cyprus","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","54.29"
"2012","Cyprus","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","23.55"
"2012","Cyprus","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","391.81"
"2012","Cyprus","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","36.15"
"2012","Latvia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","3.02"
"2012","Latvia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","1.43"
"2012","Latvia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","58.6"
"2012","Latvia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","9.47"
"2012","Latvia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","16.71"
"2012","Latvia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","6.12"
"2012","Latvia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","95.71"
"2012","Latvia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","20.3"
"2012","Lithuania","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","15.19"
"2012","Lithuania","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","5.43"
"2012","Lithuania","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","77.88"
"2012","Lithuania","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","9.77"
"2012","Lithuania","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","3.91"
"2012","Lithuania","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","1.82"
"2012","Lithuania","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","159.19"
"2012","Lithuania","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","27.05"
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","52.55"
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","19.79"
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","230.65"
"2012","Luxembourg","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","30.78"
"2012","Luxembourg","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip",":"
"2012","Luxembourg","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night",":"
"2012","Luxembourg","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","357.47"
"2012","Luxembourg","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","97.88"
"2012","Hungary","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","21.6"
"2012","Hungary","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","6.85"
"2012","Hungary","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","68.57"
"2012","Hungary","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","11.67"
"2012","Hungary","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","32.84"
"2012","Hungary","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","8.22"
"2012","Hungary","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","137.67"
"2012","Hungary","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","38.72"
"2012","Malta","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","59.87"
"2012","Malta","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","20.55"
"2012","Malta","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","211.24"
"2012","Malta","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","26.03"
"2012","Malta","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip",":"
"2012","Malta","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night",":"
