"TIME","GEO","UNIT","DURATION","PARTNER","SEX","Value","Flag and Footnotes"
"2012","Belgium","Number","1 night or over","Domestic country","Males","264,975",""
"2012","Belgium","Number","1 night or over","Domestic country","Females","253,310",""
"2012","Belgium","Number","1 night or over","All countries of the world","Males","2,238,746",""
"2012","Belgium","Number","1 night or over","All countries of the world","Females","2,295,476",""
"2012","Belgium","Percentage of total population","1 night or over","Domestic country","Males","5.98",""
"2012","Belgium","Percentage of total population","1 night or over","Domestic country","Females","5.37",""
"2012","Belgium","Percentage of total population","1 night or over","All countries of the world","Males","50.56",""
"2012","Belgium","Percentage of total population","1 night or over","All countries of the world","Females","48.65",""
"2012","Bulgaria","Number","1 night or over","Domestic country","Males","514,700",""
"2012","Bulgaria","Number","1 night or over","Domestic country","Females","498,268",""
"2012","Bulgaria","Number","1 night or over","All countries of the world","Males","604,460",""
"2012","Bulgaria","Number","1 night or over","All countries of the world","Females","596,705",""
"2012","Bulgaria","Percentage of total population","1 night or over","Domestic country","Males","16.68",""
"2012","Bulgaria","Percentage of total population","1 night or over","Domestic country","Females","15.08",""
"2012","Bulgaria","Percentage of total population","1 night or over","All countries of the world","Males","19.59",""
"2012","Bulgaria","Percentage of total population","1 night or over","All countries of the world","Females","18.06",""
"2012","Czechia","Number","1 night or over","Domestic country","Males","1,542,652",""
"2012","Czechia","Number","1 night or over","Domestic country","Females","1,634,645",""
"2012","Czechia","Number","1 night or over","All countries of the world","Males","3,290,136",""
"2012","Czechia","Number","1 night or over","All countries of the world","Females","3,434,028",""
"2012","Czechia","Percentage of total population","1 night or over","Domestic country","Males","35.32",""
"2012","Czechia","Percentage of total population","1 night or over","Domestic country","Females","35.57",""
"2012","Czechia","Percentage of total population","1 night or over","All countries of the world","Males","75.32",""
"2012","Czechia","Percentage of total population","1 night or over","All countries of the world","Females","74.72",""
"2012","Denmark","Number","1 night or over","Domestic country","Males","462,014","e"
"2012","Denmark","Number","1 night or over","Domestic country","Females","496,947","e"
"2012","Denmark","Number","1 night or over","All countries of the world","Males","1,705,449","e"
"2012","Denmark","Number","1 night or over","All countries of the world","Females","1,848,540","e"
"2012","Denmark","Percentage of total population","1 night or over","Domestic country","Males","19.43","e"
"2012","Denmark","Percentage of total population","1 night or over","Domestic country","Females","20.17","e"
"2012","Denmark","Percentage of total population","1 night or over","All countries of the world","Males","71.72","e"
"2012","Denmark","Percentage of total population","1 night or over","All countries of the world","Females","75.05","e"
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic country","Males","8,665,416",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic country","Females","8,922,101",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","All countries of the world","Males","27,237,866",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","All countries of the world","Females","27,563,668",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","Domestic country","Males","25.12",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","Domestic country","Females","24.57",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","All countries of the world","Males","78.96",""
"2012","Germany (until 1990 former territory of the FRG)","Percentage of total population","1 night or over","All countries of the world","Females","75.9",""
"2012","Estonia","Number","1 night or over","Domestic country","Males","105,544",""
"2012","Estonia","Number","1 night or over","Domestic country","Females","125,118",""
"2012","Estonia","Number","1 night or over","All countries of the world","Males","313,601",""
"2012","Estonia","Number","1 night or over","All countries of the world","Females","372,116",""
"2012","Estonia","Percentage of total population","1 night or over","Domestic country","Males","20.66",""
"2012","Estonia","Percentage of total population","1 night or over","Domestic country","Females","20.15",""
"2012","Estonia","Percentage of total population","1 night or over","All countries of the world","Males","61.38",""
"2012","Estonia","Percentage of total population","1 night or over","All countries of the world","Females","59.92",""
"2012","Ireland","Number","1 night or over","Domestic country","Males","315,330",""
"2012","Ireland","Number","1 night or over","Domestic country","Females","349,856",""
"2012","Ireland","Number","1 night or over","All countries of the world","Males","1,223,183",""
"2012","Ireland","Number","1 night or over","All countries of the world","Females","1,321,991",""
"2012","Ireland","Percentage of total population","1 night or over","Domestic country","Males","17.92",""
"2012","Ireland","Percentage of total population","1 night or over","Domestic country","Females","19.15",""
"2012","Ireland","Percentage of total population","1 night or over","All countries of the world","Males","69.51",""
"2012","Ireland","Percentage of total population","1 night or over","All countries of the world","Females","72.36",""
"2012","Greece","Number","1 night or over","Domestic country","Males","1,471,106",""
"2012","Greece","Number","1 night or over","Domestic country","Females","1,593,417",""
"2012","Greece","Number","1 night or over","All countries of the world","Males","1,662,103",""
"2012","Greece","Number","1 night or over","All countries of the world","Females","1,820,835",""
"2012","Greece","Percentage of total population","1 night or over","Domestic country","Males","32.38",""
"2012","Greece","Percentage of total population","1 night or over","Domestic country","Females","32.85",""
"2012","Greece","Percentage of total population","1 night or over","All countries of the world","Males","36.59",""
"2012","Greece","Percentage of total population","1 night or over","All countries of the world","Females","37.54",""
"2012","Spain","Number","1 night or over","Domestic country","Males","7,893,795",""
"2012","Spain","Number","1 night or over","Domestic country","Females","8,284,602",""
"2012","Spain","Number","1 night or over","All countries of the world","Males","10,081,757",""
"2012","Spain","Number","1 night or over","All countries of the world","Females","10,731,857",""
"2012","Spain","Percentage of total population","1 night or over","Domestic country","Males","41.41",""
"2012","Spain","Percentage of total population","1 night or over","Domestic country","Females","41.52",""
"2012","Spain","Percentage of total population","1 night or over","All countries of the world","Males","52.89",""
"2012","Spain","Percentage of total population","1 night or over","All countries of the world","Females","53.79",""
"2012","France","Number","1 night or over","Domestic country","Males","12,311,288",""
"2012","France","Number","1 night or over","Domestic country","Females","13,794,503",""
"2012","France","Number","1 night or over","All countries of the world","Males","18,041,159",""
"2012","France","Number","1 night or over","All countries of the world","Females","20,339,692",""
"2012","France","Percentage of total population","1 night or over","Domestic country","Males","50.54",""
"2012","France","Percentage of total population","1 night or over","Domestic country","Females","51.57",""
"2012","France","Percentage of total population","1 night or over","All countries of the world","Males","74.05",""
"2012","France","Percentage of total population","1 night or over","All countries of the world","Females","76.03",""
"2012","Croatia","Number","1 night or over","Domestic country","Males","453,325","u"
"2012","Croatia","Number","1 night or over","Domestic country","Females","493,628","u"
"2012","Croatia","Number","1 night or over","All countries of the world","Males","914,024",""
"2012","Croatia","Number","1 night or over","All countries of the world","Females","995,285",""
"2012","Croatia","Percentage of total population","1 night or over","Domestic country","Males","25.87","u"
"2012","Croatia","Percentage of total population","1 night or over","Domestic country","Females","25.57","u"
"2012","Croatia","Percentage of total population","1 night or over","All countries of the world","Males","52.17",""
"2012","Croatia","Percentage of total population","1 night or over","All countries of the world","Females","51.55",""
"2012","Italy","Number","1 night or over","Domestic country","Males","9,225,692",""
"2012","Italy","Number","1 night or over","Domestic country","Females","9,316,865",""
"2012","Italy","Number","1 night or over","All countries of the world","Males","12,362,510",""
"2012","Italy","Number","1 night or over","All countries of the world","Females","12,635,988",""
"2012","Italy","Percentage of total population","1 night or over","Domestic country","Males","37.18",""
"2012","Italy","Percentage of total population","1 night or over","Domestic country","Females","34.81",""
"2012","Italy","Percentage of total population","1 night or over","All countries of the world","Males","49.82",""
"2012","Italy","Percentage of total population","1 night or over","All countries of the world","Females","47.22",""
"2012","Cyprus","Number","1 night or over","Domestic country","Males","100,663","e"
"2012","Cyprus","Number","1 night or over","Domestic country","Females","102,344","e"
"2012","Cyprus","Number","1 night or over","All countries of the world","Males","265,497","e"
"2012","Cyprus","Number","1 night or over","All countries of the world","Females","279,428","e"
"2012","Cyprus","Percentage of total population","1 night or over","Domestic country","Males","29.09","e"
"2012","Cyprus","Percentage of total population","1 night or over","Domestic country","Females","27.39","e"
"2012","Cyprus","Percentage of total population","1 night or over","All countries of the world","Males","76.72","e"
"2012","Cyprus","Percentage of total population","1 night or over","All countries of the world","Females","74.79","e"
"2012","Latvia","Number","1 night or over","Domestic country","Males","199,344",""
"2012","Latvia","Number","1 night or over","Domestic country","Females","205,373",""
"2012","Latvia","Number","1 night or over","All countries of the world","Males","372,239",""
"2012","Latvia","Number","1 night or over","All countries of the world","Females","419,053",""
"2012","Latvia","Percentage of total population","1 night or over","Domestic country","Males","34.77",""
"2012","Latvia","Percentage of total population","1 night or over","Domestic country","Females","28.75",""
"2012","Latvia","Percentage of total population","1 night or over","All countries of the world","Males","64.93",""
