"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","Value","Flag and Footnotes"
"2012","Belgium","Number","Personal reasons","1 night or over","Domestic country","2,485,447",""
"2012","Belgium","Number","Personal reasons","1 night or over","Outbound","7,673,540",""
"2012","Belgium","Number","Professional, business","1 night or over","Domestic country","293,209",""
"2012","Belgium","Number","Professional, business","1 night or over","Outbound","1,902,297",""
"2012","Bulgaria","Number","Personal reasons","1 night or over","Domestic country","3,006,110","b"
"2012","Bulgaria","Number","Personal reasons","1 night or over","Outbound","417,654","b"
"2012","Bulgaria","Number","Professional, business","1 night or over","Domestic country","100,860","b"
"2012","Bulgaria","Number","Professional, business","1 night or over","Outbound","51,582","bu"
"2012","Czechia","Number","Personal reasons","1 night or over","Domestic country","25,986,952",""
"2012","Czechia","Number","Personal reasons","1 night or over","Outbound","5,419,360",""
"2012","Czechia","Number","Professional, business","1 night or over","Domestic country","893,577",""
"2012","Czechia","Number","Professional, business","1 night or over","Outbound","558,537",""
"2012","Denmark","Number","Personal reasons","1 night or over","Domestic country","20,437,399",""
"2012","Denmark","Number","Personal reasons","1 night or over","Outbound","6,005,897",""
"2012","Denmark","Number","Professional, business","1 night or over","Domestic country","969,317",""
"2012","Denmark","Number","Professional, business","1 night or over","Outbound","1,751,367",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Domestic country","130,076,882",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Outbound","69,689,109",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Domestic country","34,718,357",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Outbound","13,039,638",""
"2012","Estonia","Number","Personal reasons","1 night or over","Domestic country","1,603,942",""
"2012","Estonia","Number","Personal reasons","1 night or over","Outbound","909,937",""
"2012","Estonia","Number","Professional, business","1 night or over","Domestic country","157,109",""
"2012","Estonia","Number","Professional, business","1 night or over","Outbound","236,870",""
"2012","Ireland","Number","Personal reasons","1 night or over","Domestic country","6,108,903",""
"2012","Ireland","Number","Personal reasons","1 night or over","Outbound","5,007,475",""
"2012","Ireland","Number","Professional, business","1 night or over","Domestic country","341,339",""
"2012","Ireland","Number","Professional, business","1 night or over","Outbound","567,989",""
"2012","Greece","Number","Personal reasons","1 night or over","Domestic country","6,257,327",""
"2012","Greece","Number","Personal reasons","1 night or over","Outbound","520,872",""
"2012","Greece","Number","Professional, business","1 night or over","Domestic country","249,327",""
"2012","Greece","Number","Professional, business","1 night or over","Outbound","59,506",""
"2012","Spain","Number","Personal reasons","1 night or over","Domestic country","115,084,699",""
"2012","Spain","Number","Personal reasons","1 night or over","Outbound","9,183,640",""
"2012","Spain","Number","Professional, business","1 night or over","Domestic country","11,147,055",""
"2012","Spain","Number","Professional, business","1 night or over","Outbound","1,898,489",""
"2012","France","Number","Personal reasons","1 night or over","Domestic country","181,517,827",""
"2012","France","Number","Personal reasons","1 night or over","Outbound","21,666,911",""
"2012","France","Number","Professional, business","1 night or over","Domestic country","18,861,833",""
"2012","France","Number","Professional, business","1 night or over","Outbound","2,978,566",""
"2012","Croatia","Number","Personal reasons","1 night or over","Domestic country","5,111,093",""
"2012","Croatia","Number","Personal reasons","1 night or over","Outbound","2,173,381",""
"2012","Croatia","Number","Professional, business","1 night or over","Domestic country","944,814",""
"2012","Croatia","Number","Professional, business","1 night or over","Outbound","507,424",""
"2012","Italy","Number","Personal reasons","1 night or over","Domestic country","43,131,050",""
"2012","Italy","Number","Personal reasons","1 night or over","Outbound","12,024,406",""
"2012","Italy","Number","Professional, business","1 night or over","Domestic country","7,483,570",""
"2012","Italy","Number","Professional, business","1 night or over","Outbound","2,174,622",""
"2012","Cyprus","Number","Personal reasons","1 night or over","Domestic country","1,336,115","b"
"2012","Cyprus","Number","Personal reasons","1 night or over","Outbound","947,499","b"
"2012","Cyprus","Number","Professional, business","1 night or over","Domestic country","33,674","b"
"2012","Cyprus","Number","Professional, business","1 night or over","Outbound","227,523","b"
"2012","Latvia","Number","Personal reasons","1 night or over","Domestic country","3,635,701",""
"2012","Latvia","Number","Personal reasons","1 night or over","Outbound","1,116,903",""
"2012","Latvia","Number","Professional, business","1 night or over","Domestic country","160,369",""
"2012","Latvia","Number","Professional, business","1 night or over","Outbound","280,598",""
"2012","Lithuania","Number","Personal reasons","1 night or over","Domestic country","2,204,661",""
"2012","Lithuania","Number","Personal reasons","1 night or over","Outbound","1,387,157",""
"2012","Lithuania","Number","Professional, business","1 night or over","Domestic country","310,796",""
"2012","Lithuania","Number","Professional, business","1 night or over","Outbound","320,334",""
"2012","Luxembourg","Number","Personal reasons","1 night or over","Domestic country","43,172",""
"2012","Luxembourg","Number","Personal reasons","1 night or over","Outbound","1,311,703",""
"2012","Luxembourg","Number","Professional, business","1 night or over","Domestic country",":","u"
"2012","Luxembourg","Number","Professional, business","1 night or over","Outbound","268,421",""
"2012","Hungary","Number","Personal reasons","1 night or over","Domestic country","13,990,742",""
"2012","Hungary","Number","Personal reasons","1 night or over","Outbound","3,567,594",""
"2012","Hungary","Number","Professional, business","1 night or over","Domestic country","452,281",""
"2012","Hungary","Number","Professional, business","1 night or over","Outbound","483,285",""
"2012","Malta","Number","Personal reasons","1 night or over","Domestic country","200,378",""
"2012","Malta","Number","Personal reasons","1 night or over","Outbound","237,227",""
"2012","Malta","Number","Professional, business","1 night or over","Domestic country",":","u"
"2012","Malta","Number","Professional, business","1 night or over","Outbound","58,833",""
"2012","Netherlands","Number","Personal reasons","1 night or over","Domestic country","27,526,206","b"
"2012","Netherlands","Number","Personal reasons","1 night or over","Outbound","16,705,105","b"
"2012","Netherlands","Number","Professional, business","1 night or over","Domestic country","1,113,705","b"
"2012","Netherlands","Number","Professional, business","1 night or over","Outbound","1,148,991","b"
"2012","Austria","Number","Personal reasons","1 night or over","Domestic country","9,015,192",""
"2012","Austria","Number","Personal reasons","1 night or over","Outbound","8,986,436",""
"2012","Austria","Number","Professional, business","1 night or over","Domestic country","1,946,662",""
"2012","Austria","Number","Professional, business","1 night or over","Outbound","1,973,910",""
"2012","Poland","Number","Personal reasons","1 night or over","Domestic country","38,586,107",""
"2012","Poland","Number","Personal reasons","1 night or over","Outbound","6,807,487",""
"2012","Poland","Number","Professional, business","1 night or over","Domestic country","4,402,250",""
"2012","Poland","Number","Professional, business","1 night or over","Outbound","2,462,096",""
"2012","Portugal","Number","Personal reasons","1 night or over","Domestic country","11,845,548",""
"2012","Portugal","Number","Personal reasons","1 night or over","Outbound","981,475",""
"2012","Portugal","Number","Professional, business","1 night or over","Domestic country","824,653",""
"2012","Portugal","Number","Professional, business","1 night or over","Outbound","379,530",""
"2012","Romania","Number","Personal reasons","1 night or over","Domestic country","15,639,388",""
"2012","Romania","Number","Personal reasons","1 night or over","Outbound","771,254",""
"2012","Romania","Number","Professional, business","1 night or over","Domestic country","411,512",""
"2012","Romania","Number","Professional, business","1 night or over","Outbound",":","u"
"2012","Slovenia","Number","Personal reasons","1 night or over","Domestic country","1,974,899",""
"2012","Slovenia","Number","Personal reasons","1 night or over","Outbound","2,079,418",""
"2012","Slovenia","Number","Professional, business","1 night or over","Domestic country","89,711",""
"2012","Slovenia","Number","Professional, business","1 night or over","Outbound","394,995",""
"2012","Slovakia","Number","Personal reasons","1 night or over","Domestic country","3,582,368",""
"2012","Slovakia","Number","Personal reasons","1 night or over","Outbound","2,386,766",""
"2012","Slovakia","Number","Professional, business","1 night or over","Domestic country","894,710",""
"2012","Slovakia","Number","Professional, business","1 night or over","Outbound","302,384","u"
"2012","Finland","Number","Personal reasons","1 night or over","Domestic country","26,771,129","b"
"2012","Finland","Number","Personal reasons","1 night or over","Outbound","7,126,566","b"
"2012","Finland","Number","Professional, business","1 night or over","Domestic country","4,143,570","b"
"2012","Finland","Number","Professional, business","1 night or over","Outbound","1,950,616","b"
"2012","Sweden","Number","Personal reasons","1 night or over","Domestic country",":",""
"2012","Sweden","Number","Personal reasons","1 night or over","Outbound",":",""
"2012","Sweden","Number","Professional, business","1 night or over","Domestic country",":",""
"2012","Sweden","Number","Professional, business","1 night or over","Outbound",":",""
"2013","Belgium","Number","Personal reasons","1 night or over","Domestic country","2,574,641",""
"2013","Belgium","Number","Personal reasons","1 night or over","Outbound","9,636,505",""
"2013","Belgium","Number","Professional, business","1 night or over","Domestic country","78,641",""
"2013","Belgium","Number","Professional, business","1 night or over","Outbound","1,039,954",""
"2013","Bulgaria","Number","Personal reasons","1 night or over","Domestic country","3,259,295",""
"2013","Bulgaria","Number","Personal reasons","1 night or over","Outbound","483,363",""
"2013","Bulgaria","Number","Professional, business","1 night or over","Domestic country","153,968",""
"2013","Bulgaria","Number","Professional, business","1 night or over","Outbound","69,088",""
"2013","Czechia","Number","Personal reasons","1 night or over","Domestic country","24,304,012",""
"2013","Czechia","Number","Personal reasons","1 night or over","Outbound","5,304,202",""
"2013","Czechia","Number","Professional, business","1 night or over","Domestic country","1,194,620",""
"2013","Czechia","Number","Professional, business","1 night or over","Outbound","477,283",""
"2013","Denmark","Number","Personal reasons","1 night or over","Domestic country","22,215,862","b"
"2013","Denmark","Number","Personal reasons","1 night or over","Outbound","7,065,345","b"
"2013","Denmark","Number","Professional, business","1 night or over","Domestic country","1,374,180","b"
"2013","Denmark","Number","Professional, business","1 night or over","Outbound","1,136,372","b"
"2013","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Domestic country","130,818,258",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Outbound","76,408,381",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Domestic country","30,305,208",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Outbound","11,050,172",""
"2013","Estonia","Number","Personal reasons","1 night or over","Domestic country","1,556,379",""
"2013","Estonia","Number","Personal reasons","1 night or over","Outbound","893,467",""
"2013","Estonia","Number","Professional, business","1 night or over","Domestic country","177,207",""
"2013","Estonia","Number","Professional, business","1 night or over","Outbound","272,355",""
"2013","Ireland","Number","Personal reasons","1 night or over","Domestic country","6,194,266",""
"2013","Ireland","Number","Personal reasons","1 night or over","Outbound","4,938,543",""
"2013","Ireland","Number","Professional, business","1 night or over","Domestic country","353,588",""
"2013","Ireland","Number","Professional, business","1 night or over","Outbound","643,225",""
"2013","Greece","Number","Personal reasons","1 night or over","Domestic country","4,615,278",""
"2013","Greece","Number","Personal reasons","1 night or over","Outbound","547,366",""
"2013","Greece","Number","Professional, business","1 night or over","Domestic country","298,451",""
"2013","Greece","Number","Professional, business","1 night or over","Outbound","123,212",""
"2013","Spain","Number","Personal reasons","1 night or over","Domestic country","113,318,596",""
"2013","Spain","Number","Personal reasons","1 night or over","Outbound","8,228,858",""
"2013","Spain","Number","Professional, business","1 night or over","Domestic country","9,055,320",""
"2013","Spain","Number","Professional, business","1 night or over","Outbound","1,747,962",""
"2013","France","Number","Personal reasons","1 night or over","Domestic country","181,318,156",""
"2013","France","Number","Personal reasons","1 night or over","Outbound","22,284,136",""
"2013","France","Number","Professional, business","1 night or over","Domestic country","18,211,943",""
"2013","France","Number","Professional, business","1 night or over","Outbound","3,135,770",""
"2013","Croatia","Number","Personal reasons","1 night or over","Domestic country","5,350,704",""
"2013","Croatia","Number","Personal reasons","1 night or over","Outbound","2,358,676",""
"2013","Croatia","Number","Professional, business","1 night or over","Domestic country","874,177",""
"2013","Croatia","Number","Professional, business","1 night or over","Outbound","567,833",""
"2013","Italy","Number","Personal reasons","1 night or over","Domestic country","36,476,703",""
